Media ID,Comment ID,Username,Comment Text,Comment Created At
3293201451135172000,17994320150310766,scruffnuk.dust,"@kaiaahhhh you do what you can my dear sister. From sharing to protesting, boycotting etc. But also know that Palestinians have no gain in good people becoming.broken out of powerlessness. Thats why this posted image is a bit daunty. The ones it should reach..it wont. Instead the already powerless feel.more.guilty. and thats not good. This world is a marathon. With sprints. And yes we are in midst of a gencide and 75 years of occupation. So yes its time.for us to stand up. But you cant be glued staring at pain to do so. Peace",2024-02-05 12:55:12+00:00
3293201451135172000,18019256944894980,kaiaahhhh,"@scruffnuk.dust I feel so powerless. I don't know what to do anymore, I notice myself scrolling past Palestine content and feeling like I just can't and then feeling guilty. I just share petitions/GoFundMes for local Palestinian Canadians who need help, but I can't keep watching people die on my little nightmare box",2024-02-04 16:51:28+00:00
3293201451135172000,18042800440618536,sxftcherie,Real,2024-02-03 17:04:29+00:00
3293201451135172000,18029618089866018,andrianingrum_p,#freepalestine🇵🇸 #ceasefirenowforpalestine #stopgenocide,2024-02-03 11:50:50+00:00
3293201451135172000,18007652489259384,z3hra_zilan,#countdown2ceasefire,2024-02-03 11:28:28+00:00
3293201451135172000,18026189500767969,z3hra_zilan,#ceasefirenow,2024-02-03 11:28:25+00:00
3293201451135172000,18077661466439764,z3hra_zilan,#wewontbesilenced,2024-02-03 11:28:21+00:00
3371573573585784026,18020863805229504,ali_siddiqui_56,Free Palestine 🇵🇸🇵🇸,2024-05-28 05:47:58+00:00
3371573573585784026,18020890394333294,narbaeva140895,#израильубийцадетей,2024-05-28 05:02:06+00:00
3371573573585784026,17981576576678686,_jannah54,#FREEPALESTINE🇵🇸❤️,2024-05-27 22:06:29+00:00
3371573573585784026,18338387017143132,shams_ronaz,يعوضك ربي بالجنة❤️,2024-05-27 21:17:46+00:00
3371573573585784026,18337828639191496,reem77r7,حسبنا الله ونعم الوكيل,2024-05-27 20:02:49+00:00
3371573573585784026,18025419260156056,sewal.la,😢,2024-05-27 19:09:29+00:00
3371573573585784026,18027345847914054,najieb_91,اللهم إنا لا نملك لهم إلا الدعاء فيا رب لا ترد لنا دعاء,2024-05-27 18:35:54+00:00
3371573573585784026,18052337170649933,shahedmohammed27,💔💔,2024-05-27 12:33:21+00:00
3371573573585784026,17927655512888640,littledazzleee,#freepalestine,2024-05-27 10:43:19+00:00
3371573573585784026,18060584197577423,littledazzleee,#freepalestine🇵🇸,2024-05-27 10:43:09+00:00
3371573573585784026,17988017258507192,jidunnn._,#freepalestine,2024-05-27 08:23:01+00:00
3371573573585784026,18225905098279471,rhm.7385,😢😢😢😢,2024-05-27 01:17:23+00:00
3371573573585784026,17933975840841758,vacc.iniummyrtillus,#freepalestine,2024-05-27 01:15:51+00:00
3371573573585784026,17921764571911784,altioniiii,😢😢😢😢,2024-05-27 00:46:17+00:00
3371573573585784026,17926438889863642,dalia.al_oraibi,حسبي الله ونعم الوكيل,2024-05-26 22:57:14+00:00
3371573573585784026,18078081880469879,bird_of_freedom99,💔💔,2024-05-26 22:42:08+00:00
3371573573585784026,18020532089250565,brightfutures2024,😢😢😢😢😢😢😢😢😢😢😢😢😢,2024-05-26 17:53:50+00:00
3371573573585784026,17981670431689553,blvckl4n4,😭😭💔💔💔💔💔💔💔💔😢😢😢😢😢,2024-05-26 15:48:28+00:00
3371573573585784026,17935488962750203,fattandainippon,#freepalestine,2024-05-26 12:51:42+00:00
3371573573585784026,18028086125301278,zumar_forever,💔,2024-05-26 12:00:07+00:00
3371573573585784026,18311601334150918,hexorboct,We all need to support them fight against these zions. I am doing my part in my own way. You all do whatever you can,2024-05-26 07:44:44+00:00
3371573573585784026,17899202753924353,68warmachine68,😂😂😂,2024-05-26 02:50:23+00:00
3371573573585784026,17959944071767565,yaseen.ashour_,"‏Hello, I am Yassin from Gaza. I publish my story and constantly document events via Instagram I need you to help me If you are able to donate, thank you for this If you are not able, publish and share with your friends It is very necessary. I need this so that I can take care of my family, myself, and my daily expenses. Thank you. Best regards, Yassin 🙏🏻❤️‍",2024-05-25 21:39:59+00:00
3371573573585784026,17868470913071649,mahifzl,💔💔💔💔,2024-05-25 18:15:47+00:00
3371573573585784026,18045226384823394,abeerafahm,#freegaza,2024-05-25 18:08:50+00:00
3371573573585784026,18005663690300907,abeerafahm,😢😢,2024-05-25 18:08:45+00:00
3371573573585784026,18438236452010912,es_ra4455,😢❤️🤲,2024-05-25 17:39:18+00:00
3371573573585784026,18269563078234639,oummariem253,لاحول ولاقوة إلا بالله العلي العظيم اللهم انصر اخواننا في غزه يارب 🤲🏻🇵🇸,2024-05-25 17:01:22+00:00
